Age,T1 Rating,T10 Mean Rating,T25 Mean Rating,T100 Mean Rating
15,,,,2632.625
16,,,2725.75,2680.127659574468
17,,,2721.823529411765,2676.108910891089
18,,2773.2,2736.8611111111113,2684.4802631578946
19,,2760.777777777778,2730.1,2680.0956175298807
20,2817.6,2770.1153846153848,2745.0533333333333,2684.6401179941004
21,2821.0,2779.813953488372,2748.1065573770493,2689.43908045977
22,2840.1111111111113,2783.030303030303,2752.7466666666664,2694.396226415094
23,2867.25,2787.8169014084506,2754.486631016043,2695.509493670886
24,2873.4166666666665,2790.6555555555556,2759.945273631841,2692.281208935611
25,2858.1666666666665,2785.788888888889,2759.705314009662,2692.729885057471
26,2850.9166666666665,2789.367924528302,2755.1735537190084,2695.0576923076924
27,2832.4166666666665,2786.0,2761.709401709402,2697.1531049250534
28,2840.0833333333335,2786.905982905983,2763.4504504504503,2695.7211028632028
29,2862.8333333333335,2785.132075471698,2760.0471698113206,2696.349152542373
30,2863.4166666666665,2786.904255319149,2755.138655462185,2697.5826397146257
31,2842.9285714285716,2788.070588235294,2755.09375,2701.7920298879203
32,2783.0,2775.2698412698414,2745.203125,2696.004081632653
33,2795.0,2769.8070175438597,2743.0685714285714,2693.951048951049
34,2808.8,2775.7719298245615,2742.4772727272725,2696.5626865671643
35,,2775.918367346939,2744.062068965517,2693.9794168096055
36,,2769.5,2745.8617886178863,2690.364312267658
37,2849.0,2771.64,2750.6724137931033,2689.323529411765
38,2818.714285714286,2780.0,2761.592920353982,2691.4728850325378
39,2825.1666666666665,2785.6666666666665,2761.543209876543,2685.187817258883
40,2834.25,2796.2,2764.1846153846154,2684.7272727272725
41,2816.4,2792.90625,2760.457142857143,2682.2837837837837
42,2812.3333333333335,2794.84375,2757.2125,2684.367231638418
43,2812.0,2781.8333333333335,2752.6493506493507,2687.3629893238435
44,,2777.923076923077,2743.3048780487807,2687.090909090909
45,,2780.5,2752.3333333333335,2686.9585062240662
46,,2798.0,2759.2978723404253,2689.9375
47,,2777.25,2758.32,2682.404761904762
48,,2785.25,2758.8571428571427,2688.214876033058
49,,2773.8333333333335,2758.4,2683.936507936508
50,,2771.1111111111113,2741.5,2680.5666666666666
51,,,2737.5625,2674.8804347826085
52,,,2736.0666666666666,2681.373134328358
53,,,2682.0,2653.7272727272725
54,,,,2642.8
55,,,,2633.0
56,,,,2646.25
57,,,,2646.733333333333
58,,,,2661.823529411765
59,,,,2685.0
60,,,,2651.0
65,,,,2596.0
69,,,,2626.0
70,,,,2634.5
71,,,,2632.0
72,,,,2634.0
74,,,,2617.75
76,,,,2629.0
