Country,Pre-Immigration,Post-Immigration,Immigrants
RUS,79.0,79.0,0.0
UKR,25.0,22.0,-3.0
USA,17.0,27.0,10.0
CHN,17.0,16.0,-1.0
GER,14.0,15.0,1.0
ENG,13.0,13.0,0.0
HUN,13.0,13.0,0.0
FRA,13.0,15.0,2.0
IND,13.0,13.0,0.0
POL,12.0,11.0,-1.0
NED,12.0,13.0,1.0
ARM,12.0,13.0,1.0
ISR,11.0,10.0,-1.0
AZE,8.0,9.0,1.0
GEO,8.0,8.0,0.0
ROM,7.0,5.0,-2.0
CUB,6.0,5.0,-1.0
BLR,6.0,5.0,-1.0
CZE,5.0,4.0,-1.0
UZB,5.0,4.0,-1.0
ESP,5.0,5.0,0.0
KAZ,5.0,5.0,0.0
SLO,4.0,4.0,0.0
CRO,4.0,4.0,0.0
BUL,4.0,4.0,0.0
SRB,4.0,4.0,0.0
BRA,3.0,3.0,0.0
SWE,3.0,3.0,0.0
MDA,3.0,3.0,0.0
IRI,3.0,2.0,-1.0
SUI,3.0,3.0,0.0
BIH,3.0,2.0,-1.0
BEL,3.0,2.0,-1.0
PER,3.0,3.0,0.0
NOR,3.0,3.0,0.0
LAT,2.0,1.0,-1.0
CAN,2.0,3.0,1.0
PHI,2.0,1.0,-1.0
DEN,2.0,2.0,0.0
ISL,2.0,2.0,0.0
GRE,2.0,3.0,1.0
VEN,2.0,2.0,0.0
TUR,2.0,3.0,1.0
ARG,2.0,2.0,0.0
VIE,2.0,2.0,0.0
PAR,1.0,1.0,0.0
FIN,1.0,1.0,0.0
TJK,1.0,1.0,0.0
MAR,1.0,1.0,0.0
SCG,1.0,1.0,0.0
ITA,1.0,0.0,-1.0
IRL,1.0,1.0,0.0
MKD,1.0,1.0,0.0
EST,1.0,0.0,-1.0
UAE,1.0,1.0,0.0
CYP,1.0,0.0,-1.0
EGY,1.0,1.0,0.0
AUT,1.0,1.0,0.0
INA,1.0,1.0,0.0
SVK,1.0,1.0,0.0
LTU,1.0,1.0,0.0
SGP,0.0,1.0,1.0
