Country,2000-2005,2005-2010,2010-2015,2016-2021,Growth
RUS,43.0,42.0,38.0,36.0,-7.0
UKR,14.0,11.0,15.0,13.0,-1.0
USA,12.0,8.0,10.0,15.0,3.0
GER,11.0,7.0,5.0,4.0,-7.0
HUN,9.0,4.0,8.0,5.0,-4.0
CHN,9.0,8.0,10.0,9.0,0.0
FRA,8.0,9.0,9.0,8.0,0.0
ENG,8.0,4.0,6.0,6.0,-2.0
ARM,7.0,6.0,6.0,7.0,0.0
POL,6.0,6.0,7.0,5.0,-1.0
NED,6.0,7.0,6.0,4.0,-2.0
GEO,5.0,6.0,2.0,1.0,-4.0
ISR,5.0,8.0,6.0,6.0,1.0
KAZ,4.0,3.0,0.0,1.0,-3.0
ROM,4.0,2.0,1.0,3.0,-1.0
BUL,4.0,4.0,4.0,2.0,-2.0
GRE,3.0,1.0,0.0,1.0,-2.0
BLR,3.0,3.0,2.0,2.0,-1.0
SUI,3.0,2.0,1.0,0.0,-3.0
SLO,3.0,1.0,2.0,1.0,-2.0
ESP,3.0,3.0,1.0,4.0,1.0
AZE,3.0,5.0,6.0,7.0,4.0
CRO,3.0,0.0,1.0,1.0,-2.0
IND,3.0,5.0,8.0,12.0,9.0
CUB,2.0,5.0,3.0,1.0,-1.0
BRA,2.0,2.0,0.0,0.0,-2.0
UZB,2.0,1.0,2.0,2.0,0.0
DEN,2.0,2.0,1.0,0.0,-2.0
MDA,2.0,1.0,1.0,2.0,0.0
ISL,2.0,1.0,0.0,0.0,-2.0
SVK,2.0,1.0,0.0,0.0,-2.0
SWE,2.0,0.0,0.0,1.0,-1.0
CZE,2.0,3.0,2.0,3.0,1.0
BEL,2.0,1.0,0.0,0.0,-2.0
LTU,1.0,0.0,0.0,0.0,-1.0
INA,1.0,0.0,0.0,0.0,-1.0
LAT,1.0,0.0,2.0,1.0,0.0
TUR,1.0,2.0,0.0,1.0,0.0
PER,1.0,1.0,1.0,3.0,2.0
MKD,1.0,0.0,0.0,0.0,-1.0
MAR,1.0,0.0,0.0,0.0,-1.0
EST,1.0,0.0,0.0,0.0,-1.0
BIH,1.0,3.0,1.0,1.0,0.0
IRI,1.0,0.0,0.0,1.0,0.0
ARG,1.0,0.0,0.0,1.0,0.0
IRL,1.0,0.0,0.0,0.0,-1.0
SRB,0.0,3.0,2.0,2.0,2.0
PHI,0.0,2.0,0.0,0.0,0.0
VIE,0.0,2.0,2.0,1.0,1.0
NOR,0.0,2.0,2.0,3.0,3.0
FIN,0.0,1.0,1.0,0.0,0.0
CAN,0.0,1.0,1.0,2.0,2.0
ITA,0.0,1.0,0.0,0.0,0.0
TJK,0.0,1.0,0.0,0.0,0.0
SIN,0.0,1.0,0.0,0.0,0.0
SCG,0.0,1.0,0.0,0.0,0.0
VEN,0.0,0.0,2.0,1.0,1.0
AUT,0.0,0.0,1.0,1.0,1.0
EGY,0.0,0.0,1.0,1.0,1.0
PAR,0.0,0.0,0.0,1.0,1.0
UAE,0.0,0.0,0.0,1.0,1.0
SGP,0.0,0.0,0.0,1.0,1.0
